Affinity, Balancing, Interleave, Run, Opti,Time
affinity-off,balancing-on,interleave-off,7,dynamic,36.972
affinity-off,balancing-on,interleave-off,7,cyclic,32.954
affinity-off,balancing-on,interleave-off,7,tabarnac,32.094
affinity-off,balancing-on,interleave-off,3,tabarnac,32.574
affinity-off,balancing-on,interleave-off,3,cyclic,33.338
affinity-off,balancing-on,interleave-off,3,dynamic,39.243
affinity-off,balancing-on,interleave-off,5,tabarnac,31.879
affinity-off,balancing-on,interleave-off,5,cyclic,33.504
affinity-off,balancing-on,interleave-off,5,dynamic,37.615
affinity-off,balancing-on,interleave-off,1,cyclic,33.698
affinity-off,balancing-on,interleave-off,1,tabarnac,32.587
affinity-off,balancing-on,interleave-off,1,dynamic,36.320
affinity-off,balancing-on,interleave-off,2,tabarnac,32.948
affinity-off,balancing-on,interleave-off,2,dynamic,37.973
affinity-off,balancing-on,interleave-off,2,cyclic,33.718
affinity-off,balancing-on,interleave-off,8,cyclic,32.683
affinity-off,balancing-on,interleave-off,8,dynamic,38.284
affinity-off,balancing-on,interleave-off,8,tabarnac,32.202
affinity-off,balancing-on,interleave-off,9,dynamic,37.979
affinity-off,balancing-on,interleave-off,9,tabarnac,33.373
affinity-off,balancing-on,interleave-off,9,cyclic,32.747
affinity-off,balancing-on,interleave-off,6,cyclic,33.828
affinity-off,balancing-on,interleave-off,6,dynamic,38.375
affinity-off,balancing-on,interleave-off,6,tabarnac,32.722
affinity-off,balancing-on,interleave-off,4,tabarnac,33.113
affinity-off,balancing-on,interleave-off,4,dynamic,37.278
affinity-off,balancing-on,interleave-off,4,cyclic,32.994
affinity-off,balancing-on,interleave-off,10,cyclic,33.350
affinity-off,balancing-on,interleave-off,10,dynamic,37.750
affinity-off,balancing-on,interleave-off,10,tabarnac,32.509
affinity-off,balancing-on,interleave-on,2,dynamic,41.016
affinity-off,balancing-on,interleave-on,2,tabarnac,39.016
affinity-off,balancing-on,interleave-on,2,cyclic,32.977
affinity-off,balancing-on,interleave-on,9,dynamic,40.416
affinity-off,balancing-on,interleave-on,9,tabarnac,39.795
affinity-off,balancing-on,interleave-on,9,cyclic,32.961
affinity-off,balancing-on,interleave-on,6,dynamic,40.194
affinity-off,balancing-on,interleave-on,6,tabarnac,38.936
affinity-off,balancing-on,interleave-on,6,cyclic,32.583
affinity-off,balancing-on,interleave-on,5,tabarnac,38.992
affinity-off,balancing-on,interleave-on,5,dynamic,40.428
affinity-off,balancing-on,interleave-on,5,cyclic,32.713
affinity-off,balancing-on,interleave-on,3,tabarnac,39.009
affinity-off,balancing-on,interleave-on,3,dynamic,40.427
affinity-off,balancing-on,interleave-on,3,cyclic,32.780
affinity-off,balancing-on,interleave-on,1,cyclic,33.024
affinity-off,balancing-on,interleave-on,1,tabarnac,38.661
affinity-off,balancing-on,interleave-on,1,dynamic,40.535
affinity-off,balancing-on,interleave-on,7,tabarnac,38.551
affinity-off,balancing-on,interleave-on,7,cyclic,32.761
affinity-off,balancing-on,interleave-on,7,dynamic,40.275
affinity-off,balancing-on,interleave-on,8,tabarnac,38.939
affinity-off,balancing-on,interleave-on,8,cyclic,32.666
affinity-off,balancing-on,interleave-on,8,dynamic,40.292
affinity-off,balancing-on,interleave-on,4,cyclic,32.925
affinity-off,balancing-on,interleave-on,4,tabarnac,39.035
affinity-off,balancing-on,interleave-on,4,dynamic,40.419
affinity-off,balancing-on,interleave-on,10,tabarnac,39.180
affinity-off,balancing-on,interleave-on,10,cyclic,32.728
affinity-off,balancing-on,interleave-on,10,dynamic,40.365
affinity-off,balancing-off,interleave-off,2,tabarnac,30.975
affinity-off,balancing-off,interleave-off,2,dynamic,37.495
affinity-off,balancing-off,interleave-off,2,cyclic,32.964
affinity-off,balancing-off,interleave-off,10,cyclic,31.928
affinity-off,balancing-off,interleave-off,10,tabarnac,30.441
affinity-off,balancing-off,interleave-off,10,dynamic,36.864
affinity-off,balancing-off,interleave-off,3,tabarnac,30.399
affinity-off,balancing-off,interleave-off,3,cyclic,31.634
affinity-off,balancing-off,interleave-off,3,dynamic,36.209
affinity-off,balancing-off,interleave-off,9,dynamic,36.364
affinity-off,balancing-off,interleave-off,9,cyclic,32.269
affinity-off,balancing-off,interleave-off,9,tabarnac,30.167
affinity-off,balancing-off,interleave-off,8,cyclic,31.812
affinity-off,balancing-off,interleave-off,8,dynamic,38.550
affinity-off,balancing-off,interleave-off,8,tabarnac,30.063
affinity-off,balancing-off,interleave-off,4,tabarnac,30.481
affinity-off,balancing-off,interleave-off,4,cyclic,32.847
affinity-off,balancing-off,interleave-off,4,dynamic,36.580
affinity-off,balancing-off,interleave-off,5,cyclic,31.934
affinity-off,balancing-off,interleave-off,5,dynamic,36.467
affinity-off,balancing-off,interleave-off,5,tabarnac,30.278
affinity-off,balancing-off,interleave-off,6,dynamic,35.654
affinity-off,balancing-off,interleave-off,6,cyclic,30.974
affinity-off,balancing-off,interleave-off,6,tabarnac,30.705
affinity-off,balancing-off,interleave-off,1,tabarnac,30.446
affinity-off,balancing-off,interleave-off,1,dynamic,37.616
affinity-off,balancing-off,interleave-off,1,cyclic,32.421
affinity-off,balancing-off,interleave-off,7,tabarnac,30.424
affinity-off,balancing-off,interleave-off,7,cyclic,31.245
affinity-off,balancing-off,interleave-off,7,dynamic,36.083
affinity-off,balancing-off,interleave-on,9,tabarnac,38.611
affinity-off,balancing-off,interleave-on,9,dynamic,40.499
affinity-off,balancing-off,interleave-on,9,cyclic,32.821
affinity-off,balancing-off,interleave-on,1,dynamic,40.756
affinity-off,balancing-off,interleave-on,1,tabarnac,38.752
affinity-off,balancing-off,interleave-on,1,cyclic,32.715
affinity-off,balancing-off,interleave-on,7,cyclic,32.959
affinity-off,balancing-off,interleave-on,7,tabarnac,38.576
affinity-off,balancing-off,interleave-on,7,dynamic,40.542
affinity-off,balancing-off,interleave-on,4,tabarnac,39.358
affinity-off,balancing-off,interleave-on,4,cyclic,32.657
affinity-off,balancing-off,interleave-on,4,dynamic,40.308
affinity-off,balancing-off,interleave-on,5,tabarnac,38.483
affinity-off,balancing-off,interleave-on,5,dynamic,40.092
affinity-off,balancing-off,interleave-on,5,cyclic,32.645
affinity-off,balancing-off,interleave-on,6,dynamic,40.448
affinity-off,balancing-off,interleave-on,6,cyclic,32.738
affinity-off,balancing-off,interleave-on,6,tabarnac,39.089
affinity-off,balancing-off,interleave-on,3,cyclic,32.472
affinity-off,balancing-off,interleave-on,3,tabarnac,39.045
affinity-off,balancing-off,interleave-on,3,dynamic,40.305
affinity-off,balancing-off,interleave-on,2,cyclic,32.971
affinity-off,balancing-off,interleave-on,2,tabarnac,38.329
affinity-off,balancing-off,interleave-on,2,dynamic,40.287
affinity-off,balancing-off,interleave-on,10,cyclic,32.484
affinity-off,balancing-off,interleave-on,10,dynamic,40.171
affinity-off,balancing-off,interleave-on,10,tabarnac,38.369
affinity-off,balancing-off,interleave-on,8,tabarnac,38.752
affinity-off,balancing-off,interleave-on,8,dynamic,40.250
affinity-off,balancing-off,interleave-on,8,cyclic,32.722
affinity-on,balancing-on,interleave-on,2,cyclic,33.821
affinity-on,balancing-on,interleave-on,2,tabarnac,38.446
affinity-on,balancing-on,interleave-on,2,dynamic,40.476
affinity-on,balancing-on,interleave-on,10,tabarnac,38.341
affinity-on,balancing-on,interleave-on,10,dynamic,40.363
affinity-on,balancing-on,interleave-on,10,cyclic,34.363
affinity-on,balancing-on,interleave-on,3,tabarnac,38.612
affinity-on,balancing-on,interleave-on,3,dynamic,40.982
affinity-on,balancing-on,interleave-on,3,cyclic,33.646
affinity-on,balancing-on,interleave-on,8,cyclic,34.122
affinity-on,balancing-on,interleave-on,8,dynamic,40.817
affinity-on,balancing-on,interleave-on,8,tabarnac,38.913
affinity-on,balancing-on,interleave-on,6,dynamic,40.350
affinity-on,balancing-on,interleave-on,6,tabarnac,38.823
affinity-on,balancing-on,interleave-on,6,cyclic,34.067
affinity-on,balancing-on,interleave-on,1,tabarnac,38.589
affinity-on,balancing-on,interleave-on,1,dynamic,40.586
affinity-on,balancing-on,interleave-on,1,cyclic,34.186
affinity-on,balancing-on,interleave-on,7,cyclic,33.635
affinity-on,balancing-on,interleave-on,7,dynamic,40.693
affinity-on,balancing-on,interleave-on,7,tabarnac,38.573
affinity-on,balancing-on,interleave-on,4,tabarnac,38.372
affinity-on,balancing-on,interleave-on,4,dynamic,41.305
affinity-on,balancing-on,interleave-on,4,cyclic,33.627
affinity-on,balancing-on,interleave-on,9,dynamic,40.427
affinity-on,balancing-on,interleave-on,9,tabarnac,39.103
affinity-on,balancing-on,interleave-on,9,cyclic,33.798
affinity-on,balancing-on,interleave-on,5,cyclic,34.185
affinity-on,balancing-on,interleave-on,5,dynamic,40.580
affinity-on,balancing-on,interleave-on,5,tabarnac,38.928
affinity-on,balancing-on,interleave-off,9,cyclic,33.689
affinity-on,balancing-on,interleave-off,9,dynamic,37.332
affinity-on,balancing-on,interleave-off,9,tabarnac,31.326
affinity-on,balancing-on,interleave-off,7,tabarnac,30.456
affinity-on,balancing-on,interleave-off,7,cyclic,35.838
affinity-on,balancing-on,interleave-off,7,dynamic,37.306
affinity-on,balancing-on,interleave-off,8,tabarnac,30.622
affinity-on,balancing-on,interleave-off,8,cyclic,33.627
affinity-on,balancing-on,interleave-off,8,dynamic,38.297
affinity-on,balancing-on,interleave-off,5,cyclic,34.163
affinity-on,balancing-on,interleave-off,5,dynamic,37.067
affinity-on,balancing-on,interleave-off,5,tabarnac,31.232
affinity-on,balancing-on,interleave-off,10,dynamic,38.896
affinity-on,balancing-on,interleave-off,10,cyclic,34.737
affinity-on,balancing-on,interleave-off,10,tabarnac,30.724
affinity-on,balancing-on,interleave-off,6,dynamic,37.478
affinity-on,balancing-on,interleave-off,6,tabarnac,31.057
affinity-on,balancing-on,interleave-off,6,cyclic,36.078
affinity-on,balancing-on,interleave-off,4,dynamic,36.721
affinity-on,balancing-on,interleave-off,4,tabarnac,32.010
affinity-on,balancing-on,interleave-off,4,cyclic,36.014
affinity-on,balancing-on,interleave-off,2,dynamic,38.122
affinity-on,balancing-on,interleave-off,2,tabarnac,30.745
affinity-on,balancing-on,interleave-off,2,cyclic,35.300
affinity-on,balancing-on,interleave-off,3,tabarnac,29.851
affinity-on,balancing-on,interleave-off,3,dynamic,36.917
affinity-on,balancing-on,interleave-off,3,cyclic,34.111
affinity-on,balancing-on,interleave-off,1,dynamic,36.761
affinity-on,balancing-on,interleave-off,1,tabarnac,30.477
affinity-on,balancing-on,interleave-off,1,cyclic,34.475
affinity-on,balancing-off,interleave-off,5,tabarnac,29.197
affinity-on,balancing-off,interleave-off,5,dynamic,36.199
affinity-on,balancing-off,interleave-off,5,cyclic,31.504
affinity-on,balancing-off,interleave-off,8,dynamic,34.538
affinity-on,balancing-off,interleave-off,8,tabarnac,29.148
affinity-on,balancing-off,interleave-off,8,cyclic,32.001
affinity-on,balancing-off,interleave-off,4,cyclic,31.720
affinity-on,balancing-off,interleave-off,4,dynamic,39.488
affinity-on,balancing-off,interleave-off,4,tabarnac,28.874
affinity-on,balancing-off,interleave-off,2,tabarnac,29.611
affinity-on,balancing-off,interleave-off,2,cyclic,31.678
affinity-on,balancing-off,interleave-off,2,dynamic,37.510
affinity-on,balancing-off,interleave-off,3,dynamic,37.952
affinity-on,balancing-off,interleave-off,3,cyclic,31.480
affinity-on,balancing-off,interleave-off,3,tabarnac,29.247
affinity-on,balancing-off,interleave-off,9,tabarnac,29.330
affinity-on,balancing-off,interleave-off,9,cyclic,30.802
affinity-on,balancing-off,interleave-off,9,dynamic,37.921
affinity-on,balancing-off,interleave-off,6,tabarnac,29.273
affinity-on,balancing-off,interleave-off,6,cyclic,31.988
affinity-on,balancing-off,interleave-off,6,dynamic,36.572
affinity-on,balancing-off,interleave-off,10,cyclic,31.996
affinity-on,balancing-off,interleave-off,10,dynamic,37.651
affinity-on,balancing-off,interleave-off,10,tabarnac,29.098
affinity-on,balancing-off,interleave-off,1,tabarnac,29.327
affinity-on,balancing-off,interleave-off,1,dynamic,36.154
affinity-on,balancing-off,interleave-off,1,cyclic,31.434
affinity-on,balancing-off,interleave-off,7,dynamic,37.575
affinity-on,balancing-off,interleave-off,7,cyclic,30.692
affinity-on,balancing-off,interleave-off,7,tabarnac,29.366
affinity-on,balancing-off,interleave-on,4,cyclic,33.639
affinity-on,balancing-off,interleave-on,4,tabarnac,38.553
affinity-on,balancing-off,interleave-on,4,dynamic,40.601
affinity-on,balancing-off,interleave-on,10,dynamic,40.762
affinity-on,balancing-off,interleave-on,10,cyclic,33.761
affinity-on,balancing-off,interleave-on,10,tabarnac,38.876
affinity-on,balancing-off,interleave-on,8,cyclic,33.731
affinity-on,balancing-off,interleave-on,8,tabarnac,38.531
affinity-on,balancing-off,interleave-on,8,dynamic,40.656
affinity-on,balancing-off,interleave-on,1,dynamic,40.635
affinity-on,balancing-off,interleave-on,1,tabarnac,39.308
affinity-on,balancing-off,interleave-on,1,cyclic,33.631
affinity-on,balancing-off,interleave-on,3,cyclic,33.457
affinity-on,balancing-off,interleave-on,3,tabarnac,38.837
affinity-on,balancing-off,interleave-on,3,dynamic,40.952
affinity-on,balancing-off,interleave-on,7,tabarnac,38.710
affinity-on,balancing-off,interleave-on,7,cyclic,33.941
affinity-on,balancing-off,interleave-on,7,dynamic,40.604
affinity-on,balancing-off,interleave-on,5,cyclic,33.962
affinity-on,balancing-off,interleave-on,5,tabarnac,38.543
affinity-on,balancing-off,interleave-on,5,dynamic,40.399
affinity-on,balancing-off,interleave-on,9,cyclic,33.760
affinity-on,balancing-off,interleave-on,9,dynamic,41.155
affinity-on,balancing-off,interleave-on,9,tabarnac,38.522
affinity-on,balancing-off,interleave-on,6,tabarnac,38.870
affinity-on,balancing-off,interleave-on,6,cyclic,33.630
affinity-on,balancing-off,interleave-on,6,dynamic,40.395
affinity-on,balancing-off,interleave-on,2,dynamic,40.809
affinity-on,balancing-off,interleave-on,2,tabarnac,39.829
affinity-on,balancing-off,interleave-on,2,cyclic,33.989
